random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
249,1,1,1,46,1,1,85.714287
250,0,1,2,23,1,1,85.714287
253,1,0,2,58,0,0,
255,0,0,2,58,0,0,
256,0,0,1,49,1,1,
257,1,1,1,41,0,0,28.57143
259,0,0,1,56,1,1,71.428574
261,1,1,1,48,0,0,71.428574
262,0,0,2,61,0,0,
263,0,0,2,56,0,0,
264,0,0,2,64,0,0,
265,0,0,1,,0,0,
267,1,1,1,43,0,0,
268,1,1,1,53,1,1,14.285715
269,0,0,1,39,1,1,
270,0,1,1,51,1,1,57.14286
271,1,1,1,61,1,1,85.714287
272,0,0,1,41,1,1,85.714287
273,0,0,1,38,1,1,
274,1,0,1,48,1,1,
275,0,0,2,115,,,
276,0,0,1,64,0,0,
277,0,0,1,51,1,1,85.714287
279,0,0,1,46,1,1,
281,0,0,1,40,0,0,71.428574
282,1,1,1,45,0,0,71.428574
283,0,0,1,51,1,1,71.428574
284,1,1,1,70,1,1,
285,0,0,1,48,1,1,85.714287
286,1,0,1,35,1,1,
288,0,0,2,58,0,0,
289,0,0,1,83,1,0,
292,1,1,1,54,0,0,
293,0,0,1,42,1,0,57.14286
294,1,1,1,39,0,0,
295,0,0,1,46,1,1,85.714287
297,0,0,1,40,0,0,42.857143
298,0,0,1,61,0,0,
299,0,0,1,41,0,0,57.14286
300,0,0,2,61,0,0,85.714287
304,0,0,1,75,0,0,
305,1,1,2,51,0,0,
306,0,0,2,41,0,0,
307,1,1,1,31,0,0,
309,0,0,1,31,1,1,71.428574
310,0,0,1,44,1,1,85.714287
311,1,0,1,41,1,1,71.428574
312,1,1,2,46,0,0,
313,1,1,1,64,0,0,
314,1,1,1,65,1,1,
315,0,0,1,51,1,1,
317,1,1,1,58,0,0,
318,1,1,1,55,1,1,57.14286
319,0,0,2,48,1,1,42.857143
320,0,0,1,48,1,1,
322,1,1,1,28,0,0,85.714287
323,0,0,2,76,0,0,
324,1,1,2,52,1,1,
325,0,0,1,50,1,1,
326,1,0,2,80,0,0,
327,1,1,1,41,1,1,85.714287
328,0,0,1,36,1,1,71.428574
331,1,0,1,64,1,1,85.714287
333,1,0,2,,0,0,
334,0,0,1,38,0,0,
335,0,0,2,41,0,0,71.428574
336,0,1,1,41,0,0,28.57143
337,1,1,1,56,1,1,
338,1,1,1,40,1,1,57.14286
339,0,0,2,35,0,0,71.428574
341,0,0,2,66,0,0,
343,1,1,2,71,1,1,
344,0,0,2,71,0,0,
346,1,0,1,51,1,1,
348,0,0,1,44,1,1,42.857143
349,1,0,1,39,1,1,85.714287
350,1,1,2,81,0,0,
351,1,0,2,32,0,0,
352,1,0,1,75,1,1,
353,0,1,1,38,0,0,
356,1,1,1,32,1,1,
357,1,1,1,34,1,1,
358,1,1,1,42,0,0,
359,1,1,2,61,0,0,
360,1,0,1,53,1,1,
361,1,1,1,38,1,1,
362,0,0,2,60,0,0,
363,1,1,1,39,0,0,0
365,1,0,1,40,1,1,71.428574
366,1,1,1,45,1,1,
367,0,0,1,46,1,1,71.428574
368,0,0,1,45,0,0,
370,0,0,1,50,0,0,57.14286
371,1,0,1,35,1,1,
372,1,1,1,51,1,1,71.428574
373,0,1,1,46,1,1,
375,1,1,1,35,1,1,71.428574
376,0,0,1,43,0,0,85.714287
378,0,0,1,71,0,0,
379,0,0,2,68,0,0,
380,1,0,1,58,1,1,
381,0,0,2,97,0,0,
382,1,0,1,41,1,1,
383,0,0,1,64,1,1,
386,1,1,1,56,1,1,
387,1,0,2,60,0,0,
390,1,1,1,44,1,1,57.14286
391,1,1,1,57,1,1,57.14286
392,1,1,2,53,1,1,71.428574
393,0,0,1,29,1,1,
394,1,0,2,32,1,1,71.428574
395,0,0,1,55,1,1,
396,1,1,1,46,1,1,57.14286
397,0,1,2,65,0,0,85.714287
398,1,1,1,52,1,1,14.285715
400,1,1,2,41,0,0,
401,0,0,1,45,1,1,
404,0,0,2,49,0,0,
405,1,0,1,72,1,0,
406,1,1,2,36,0,0,
407,1,0,2,64,0,0,
408,1,1,1,51,0,0,
409,1,1,2,30,1,1,
410,0,0,1,46,1,1,71.428574
411,0,0,2,80,0,0,
413,1,0,2,,0,0,
414,1,1,1,30,1,1,
415,1,1,1,46,0,0,85.714287
416,0,0,1,29,1,1,
417,1,1,1,41,1,1,85.714287
419,0,0,1,37,1,1,
421,0,0,1,46,1,1,85.714287
423,1,0,2,37,0,0,
425,1,1,1,54,1,1,57.14286
426,1,1,1,76,0,0,
428,0,0,1,37,0,0,
429,0,0,1,51,1,1,
430,0,0,2,71,0,0,
431,1,1,1,41,1,1,
432,1,0,1,44,1,1,
435,0,0,1,35,1,1,85.714287
436,1,1,1,40,1,1,
438,0,0,2,49,0,0,85.714287
439,1,1,1,32,1,1,
440,0,0,1,46,1,1,
441,1,0,1,57,1,1,0
447,0,0,2,70,0,0,
448,0,0,1,47,1,1,71.428574
449,0,0,1,53,1,1,85.714287
450,1,1,1,52,1,1,
451,0,0,2,30,1,1,
454,0,0,1,31,1,1,
455,0,0,1,,0,0,
456,0,0,1,71,0,0,
457,0,0,1,40,1,1,57.14286
458,1,0,2,48,0,0,71.428574
459,0,0,1,48,1,1,85.714287
460,0,0,1,51,1,1,42.857143
461,1,0,1,47,1,1,
462,1,1,1,36,0,0,71.428574
463,1,1,2,68,0,0,
465,1,1,1,63,1,1,71.428574
466,1,1,1,60,1,1,
467,0,0,1,36,0,0,85.714287
468,1,1,2,63,,,
471,0,0,1,59,1,1,
473,1,1,1,44,1,1,85.714287
474,1,1,2,61,0,0,
477,1,1,1,44,0,0,0
478,1,0,2,68,1,0,
479,0,0,1,55,1,1,
482,0,0,1,51,1,1,
483,0,1,1,31,1,1,57.14286
486,1,1,1,35,1,1,85.714287
488,1,1,1,76,1,1,85.714287
489,1,1,1,32,1,1,
490,0,0,1,69,0,0,
491,1,0,2,70,,,
492,0,1,1,39,1,1,57.14286
493,1,0,1,74,0,0,
494,1,1,1,54,1,1,
498,1,0,1,43,1,1,71.428574
500,0,0,2,51,0,0,
501,1,0,1,83,1,1,
502,1,1,1,46,1,1,85.714287
504,1,1,1,27,1,1,
506,0,0,2,23,0,0,
507,0,0,1,60,1,1,
508,1,1,1,50,1,1,85.714287
509,1,1,1,27,0,0,
510,1,0,1,41,0,0,
511,0,0,1,63,0,0,
512,1,0,2,42,0,0,
513,1,1,1,46,0,0,71.428574
514,1,1,2,73,0,0,
